exposure,outcome,estimate,std.error,beta_std,Description,Category,Abbreviation,p.value,p_fdr,n
CD276,X30090.0.0,-0.006930227,0.000526275844102401,-0.058197243,Platelet.crit,Inflammation,Platelet.crit,1.55320818069742e-39,2.98321571250099e-39,49792
EGFR,X30090.0.0,0.000546392204839839,0.00113725606674369,0.00209385859666181,Platelet.crit,Inflammation,Platelet.crit,0.630911080821229,0.637492865568991,50435
GDF15,X30090.0.0,0.00215365140003938,0.000415125741071132,0.0259051836178244,Platelet.crit,Inflammation,Platelet.crit,2.13444111304131e-07,2.70495527970469e-07,50435
GHRL,X30090.0.0,-0.000312974,0.000226363031317469,-0.006242371,Platelet.crit,Inflammation,Platelet.crit,0.16678702128993,0.175865630535883,49828
LGALS4,X30090.0.0,0.00329738038622432,0.000343186322208584,0.0432127752637575,Platelet.crit,Inflammation,Platelet.crit,7.71768627147528e-22,1.23410171982553e-21,49792
APOM,X30100.0.0,-0.275086339,0.0152579742595809,-0.081344916,Mean.platelet..thrombocyte..volume,Inflammation,Mean.platelet..thrombocyte..volume,1.96049689789896e-72,5.17205018200582e-72,49936
CD276,X30100.0.0,0.0542119040914253,0.012133599349726,0.0206400985330569,Mean.platelet..thrombocyte..volume,Inflammation,Mean.platelet..thrombocyte..volume,7.91592531841425e-06,9.82966550528363e-06,49792
EGFR,X30100.0.0,-0.067786935,0.0262262270275641,-0.011764234,Mean.platelet..thrombocyte..volume,Inflammation,Mean.platelet..thrombocyte..volume,0.00974915527737785,0.0110719049883789,50435
GDF15,X30100.0.0,0.0212569483356746,0.00957590444098026,0.0115794249774246,Mean.platelet..thrombocyte..volume,Inflammation,Mean.platelet..thrombocyte..volume,0.0264342606033138,0.0292850141977888,50435
GHRL,X30100.0.0,-0.03292419,0.00521015973824519,-0.029784535,Mean.platelet..thrombocyte..volume,Inflammation,Mean.platelet..thrombocyte..volume,2.65091006099544e-10,3.60183771814611e-10,49828
LGALS4,X30100.0.0,-0.00211665,0.0079075111347305,-0.001257634,Mean.platelet..thrombocyte..volume,Inflammation,Mean.platelet..thrombocyte..volume,0.788949925223844,0.795994120984771,49792
APOM,X30110.0.0,-0.075961139,0.00731926538019186,-0.046500777,Platelet.distribution.width,Inflammation,Platelet.distribution.width,3.30423715443662e-25,5.53153775483464e-25,49936
CD276,X30110.0.0,0.0188340305930985,0.0058129990742673,0.0148323250781342,Platelet.distribution.width,Inflammation,Platelet.distribution.width,0.0011961447119077,0.00142029091886764,49792
EGFR,X30110.0.0,-0.07769255,0.012547124328084,-0.027912171,Platelet.distribution.width,Inflammation,Platelet.distribution.width,5.98400795397685e-10,8.06591926997277e-10,50435
GDF15,X30110.0.0,0.0299510625876607,0.00458101435078575,0.0337749634928712,Platelet.distribution.width,Inflammation,Platelet.distribution.width,6.29052801086358e-11,8.65107097640062e-11,50435
GHRL,X30110.0.0,-0.000463827,0.00249396417960904,-0.000868674,Platelet.distribution.width,Inflammation,Platelet.distribution.width,0.852461495538218,0.858794790453064,49828
LGALS4,X30110.0.0,0.0110397292441655,0.00378767147035559,0.0135678973213186,Platelet.distribution.width,Inflammation,Platelet.distribution.width,0.00356248654701416,0.00413590047752671,49792
APOM,X30120.0.0,-0.092832614,0.0159602631997774,-0.026345502,Lymphocyte.count,Inflammation,Lymphocyte.count,6.04648824467717e-09,7.92943719514724e-09,49860
CD276,X30120.0.0,-0.012087196,0.0126838830456041,-0.00440756,Lymphocyte.count,Inflammation,Lymphocyte.count,0.340616461023931,0.352577039044619,49719
EGFR,X30120.0.0,0.169822917358086,0.0272508124520638,0.0283820254827513,Lymphocyte.count,Inflammation,Lymphocyte.count,4.64610283819281e-10,6.27501538704129e-10,50358
GDF15,X30120.0.0,0.131215080294954,0.00993864894432743,0.068828225616459,Lymphocyte.count,Inflammation,Lymphocyte.count,9.88374292658311e-40,1.90916743710067e-39,50358
GHRL,X30120.0.0,0.00865502789321407,0.00532094616838133,0.00767576280997534,Lymphocyte.count,Inflammation,Lymphocyte.count,0.10382934620098,0.110860309801991,49752
LGALS4,X30120.0.0,0.0706511824045318,0.00826081007330581,0.0401961779183276,Lymphocyte.count,Inflammation,Lymphocyte.count,1.23749001553493e-17,1.87280855029617e-17,49719
APOM,X30130.0.0,-0.049949045,0.00277768338295883,-0.07945651,Monocyte.count,Inflammation,Monocyte.count,4.54013256665005e-72,1.17488926724761e-71,49860
CD276,X30130.0.0,0.00692629321853738,0.00227041908280753,0.0138120160452262,Monocyte.count,Inflammation,Monocyte.count,0.00228453858833482,0.00268909229668578,49719
EGFR,X30130.0.0,-0.075224655,0.00489380572845383,-0.068439876,Monocyte.count,Inflammation,Monocyte.count,3.36545897727273e-53,7.50585916641747e-53,50358
GDF15,X30130.0.0,0.0596019289548204,0.00177158759482121,0.170194317987168,Monocyte.count,Inflammation,Monocyte.count,2.10451848848455e-245,1.37198416845435e-244,50358
GHRL,X30130.0.0,-0.005475546,0.00097241324367682,-0.026021213,Monocyte.count,Inflammation,Monocyte.count,1.80254634120892e-08,2.33676179606051e-08,49752
LGALS4,X30130.0.0,0.0252170520313251,0.0014755677434226,0.0784590655189808,Monocyte.count,Inflammation,Monocyte.count,2.72304316543352e-65,6.71353914968701e-65,49719
APOM,X30140.0.0,-0.397548129,0.0199745237614111,-0.08905882,Neutrophill.count,Inflammation,Neutrophill.count,8.46695626758458e-88,2.54008688027537e-87,49860
CD276,X30140.0.0,0.0349502920076781,0.0159175253372354,0.0100673550236648,Neutrophill.count,Inflammation,Neutrophill.count,0.0281172159172632,0.0310480006382809,49719
EGFR,X30140.0.0,-0.778619811,0.0342020041032822,-0.102316556,Neutrophill.count,Inflammation,Neutrophill.count,3.8309663244895e-114,1.34580060518336e-113,50358
GDF15,X30140.0.0,0.628521597529915,0.0122379226683326,0.259224715265744,Neutrophill.count,Inflammation,Neutrophill.count,0,0,50358
GHRL,X30140.0.0,-0.038617168,0.00683082627740342,-0.026446878,Neutrophill.count,Inflammation,Neutrophill.count,1.58195640903938e-08,2.05472499105115e-08,49752
LGALS4,X30140.0.0,0.220303790227818,0.0103276507029467,0.0990100227269893,Neutrophill.count,Inflammation,Neutrophill.count,1.64183546818439e-100,5.30078308299532e-100,49719
APOM,X30150.0.0,-0.025934717,0.00194770678321327,-0.060059369,Eosinophill.count,Inflammation,Eosinophill.count,2.20542856682394e-40,4.2722301951618e-40,49860
CD276,X30150.0.0,0.00860297059009828,0.00154916034169407,0.025600855096509,Eosinophill.count,Inflammation,Eosinophill.count,2.81738722455487e-08,3.63153714495856e-08,49719
EGFR,X30150.0.0,-0.033686584,0.00333423494001931,-0.045855754,Eosinophill.count,Inflammation,Eosinophill.count,5.63398656489871e-24,9.31668997805201e-24,50358
GDF15,X30150.0.0,0.0224256618352378,0.00121479085067274,0.0958115511840025,Eosinophill.count,Inflammation,Eosinophill.count,7.65274768830886e-76,2.10063276626454e-75,50358
GHRL,X30150.0.0,-0.003690465,0.000660585074064356,-0.026279637,Eosinophill.count,Inflammation,Eosinophill.count,2.32685909188634e-08,3.00497231295036e-08,49752
LGALS4,X30150.0.0,0.0146515132486348,0.00100784776766108,0.068026970547086,Eosinophill.count,Inflammation,Eosinophill.count,8.80126106368182e-48,1.853184782974e-47,49719
APOM,X30160.0.0,-0.003537552,0.000714584530201144,-0.022336347,Basophill.count,Inflammation,Basophill.count,7.426409059672e-07,9.32426915269929e-07,49860
CD276,X30160.0.0,0.00158241720266336,0.000566909820087197,0.0128573209165438,Basophill.count,Inflammation,Basophill.count,0.00525163148593307,0.00607611970556761,49719
EGFR,X30160.0.0,-0.008654651,0.00122049366990536,-0.032165708,Basophill.count,Inflammation,Basophill.count,1.34792462830844e-12,1.892117801228e-12,50358
GDF15,X30160.0.0,0.00705666669800948,0.000444836295753725,0.0823149867543795,Basophill.count,Inflammation,Basophill.count,1.55548375928066e-56,3.52715046418825e-56,50358
GHRL,X30160.0.0,0.000469718762848731,0.000238055714349817,0.00927286782520174,Basophill.count,Inflammation,Basophill.count,0.0484844255951941,0.0527647520923621,49752
LGALS4,X30160.0.0,0.00212138664066353,0.000369394130823712,0.0268931660579047,Basophill.count,Inflammation,Basophill.count,9.36207021758988e-09,1.22066992452422e-08,49719
APOM,X30180.0.0,1.09574859280327,0.106325882303687,0.046017965571567,Lymphocyte.percentage,Inflammation,Lymphocyte.percentage,7.04419363112972e-25,1.17634563593743e-24,49861
CD276,X30180.0.0,-0.420017378,0.0845210591029327,-0.022665421,Lymphocyte.percentage,Inflammation,Lymphocyte.percentage,6.73898561567083e-07,8.47686873362676e-07,49719
EGFR,X30180.0.0,5.08079343283166,0.181018408284704,0.125179390064041,Lymphocyte.percentage,Inflammation,Lymphocyte.percentage,5.17088087677323e-172,2.48642357053351e-171,50359
GDF15,X30180.0.0,-1.531130809,0.066273462895904,-0.118398543,Lymphocyte.percentage,Inflammation,Lymphocyte.percentage,1.76310023515434e-117,6.29148399702443e-117,50359
GHRL,X30180.0.0,0.211936147043038,0.0362380996201571,0.0272212704508847,Lymphocyte.percentage,Inflammation,Lymphocyte.percentage,4.99319883355576e-09,6.57357050320545e-09,49753
LGALS4,X30180.0.0,-0.397644881,0.0550720374124076,-0.033479931,Lymphocyte.percentage,Inflammation,Lymphocyte.percentage,5.25568463277823e-13,7.42365454379925e-13,49719
APOM,X30190.0.0,-0.156032075,0.0359202995231947,-0.019270512,Monocyte.percentage,Inflammation,Monocyte.percentage,1.40289345331473e-05,1.73253508442147e-05,49861
CD276,X30190.0.0,0.0476159849029816,0.0289659218271237,0.00744859896652173,Monocyte.percentage,Inflammation,Monocyte.percentage,0.100210995192161,0.107212723635056,49719
EGFR,X30190.0.0,-0.377154956,0.0624416441850228,-0.026958062,Monocyte.percentage,Inflammation,Monocyte.percentage,1.55078265512051e-09,2.06162870621903e-09,50359
GDF15,X30190.0.0,0.0619368736710973,0.0228104612800731,0.0138947553688397,Monocyte.percentage,Inflammation,Monocyte.percentage,0.00662416218253584,0.00756091239016717,50359
GHRL,X30190.0.0,-0.046735938,0.0123703030097224,-0.017467985,Monocyte.percentage,Inflammation,Monocyte.percentage,0.000158229311707174,0.000190888742593352,49753
LGALS4,X30190.0.0,0.0456254663849887,0.0188781646654619,0.011135808477824,Monocyte.percentage,Inflammation,Monocyte.percentage,0.0156595628408498,0.0175490638117292,49719
APOM,X30200.0.0,-0.77670779,0.12138125280966,-0.028842131,Neutrophill.percentage,Inflammation,Neutrophill.percentage,1.57875918689891e-10,2.15371977609147e-10,49861
CD276,X30200.0.0,0.265885976538026,0.0965071997420456,0.0126799484370244,Neutrophill.percentage,Inflammation,Neutrophill.percentage,0.00586974517805357,0.00674523259444122,49719
EGFR,X30200.0.0,-4.427935106,0.207321328243005,-0.096411157,Neutrophill.percentage,Inflammation,Neutrophill.percentage,9.26203167869156e-101,3.00462080294396e-100,50359
GDF15,X30200.0.0,1.4237770190019,0.07579148976572,0.0972973021504109,Neutrophill.percentage,Inflammation,Neutrophill.percentage,1.84632960657541e-78,5.15148754427213e-78,50359
GHRL,X30200.0.0,-0.132898047,0.0413605475214166,-0.015090999,Neutrophill.percentage,Inflammation,Neutrophill.percentage,0.00131366963140283,0.0015571119057537,49753
LGALS4,X30200.0.0,0.257962775434583,0.0628934596458968,0.019194274954932,Neutrophill.percentage,Inflammation,Neutrophill.percentage,4.10985717963206e-05,5.02069039241538e-05,49719
APOM,X30210.0.0,-0.163500891,0.0261240377143137,-0.028257512,Eosinophill.percentage,Inflammation,Eosinophill.percentage,3.91508917092499e-10,5.29826438700029e-10,49861
CD276,X30210.0.0,0.0969803200680725,0.0207530318789728,0.0215364052052805,Eosinophill.percentage,Inflammation,Eosinophill.percentage,2.97511661620089e-06,3.72164034277528e-06,49719
EGFR,X30210.0.0,-0.216931325,0.04471592347627,-0.022026527,Eosinophill.percentage,Inflammation,Eosinophill.percentage,1.23007926727541e-06,1.54157808357251e-06,50359
GDF15,X30210.0.0,0.0242855543302176,0.0163338420520393,0.00773935125580233,Eosinophill.percentage,Inflammation,Eosinophill.percentage,0.137067474673237,0.144753501290428,50359
GHRL,X30210.0.0,-0.039494134,0.00886883127381854,-0.020941496,Eosinophill.percentage,Inflammation,Eosinophill.percentage,8.4808323491894e-06,1.04927086364059e-05,49753
LGALS4,X30210.0.0,0.0908452805124904,0.0135227768336175,0.0314763659994967,Eosinophill.percentage,Inflammation,Eosinophill.percentage,1.86287097612934e-11,2.56712707686116e-11,49719
APOM,X30220.0.0,-0.000156005,0.00826158143087541,-8.53E-05,Basophill.percentage,Inflammation,Basophill.percentage,0.984934383210916,0.984934383210916,49861
CD276,X30220.0.0,0.0100763119597559,0.00655351852919061,0.00708962770431553,Basophill.percentage,Inflammation,Basophill.percentage,0.124166937576289,0.131539349494881,49719
EGFR,X30220.0.0,-0.059012431,0.014107191273857,-0.018998359,Basophill.percentage,Inflammation,Basophill.percentage,2.87990514540724e-05,3.53727479816324e-05,50359
GDF15,X30220.0.0,0.0205102854901159,0.00515207008438411,0.0207241658076658,Basophill.percentage,Inflammation,Basophill.percentage,6.87282053550495e-05,8.3658390001299e-05,50359
GHRL,X30220.0.0,0.00753018740075158,0.00280951079404241,0.0126108056907665,Basophill.percentage,Inflammation,Basophill.percentage,0.00735917620292329,0.00838575036232267,49753
LGALS4,X30220.0.0,0.00299918023745096,0.00427138638413837,0.0032924334580509,Basophill.percentage,Inflammation,Basophill.percentage,0.482585077643872,0.494248765321065,49719
APOM,X30610.0.0,-0.887828567,0.371856904611177,-0.010690808,Alkaline.phosphatase,Renal/Liver function,ALP,0.0169646567600954,0.0189802595434731,49136
CD276,X30610.0.0,4.8219583940865,0.294906911617161,0.074584332237218,Alkaline.phosphatase,Renal/Liver function,ALP,6.19769638305781e-60,1.4341427125301e-59,48966
EGFR,X30610.0.0,11.3647681779913,0.634608174316169,0.0804002423002236,Alkaline.phosphatase,Renal/Liver function,ALP,1.70816531366422e-71,4.38687910100129e-71,49614
GDF15,X30610.0.0,8.12659638593126,0.229021336899251,0.180809433162586,Alkaline.phosphatase,Renal/Liver function,ALP,2.29326845129396e-272,1.74700675278349e-271,49614
GHRL,X30610.0.0,-1.102186477,0.126879019828248,-0.040481986,Alkaline.phosphatase,Renal/Liver function,ALP,3.83713875992838e-18,5.88592778106661e-18,48998
LGALS4,X30610.0.0,8.57476298158275,0.188522733753584,0.207320213252632,Alkaline.phosphatase,Renal/Liver function,ALP,0,0,48966
APOM,X30620.0.0,-1.552442873,0.193600574696173,-0.035510931,Alanine.aminotransferase,Renal/Liver function,ALT,1.09132642864016e-15,1.60503105990896e-15,49129
CD276,X30620.0.0,-0.163240336,0.154736363275564,-0.004774838,Alanine.aminotransferase,Renal/Liver function,ALT,0.291449830185569,0.303072062677632,48959
EGFR,X30620.0.0,3.94801987075757,0.332323183683429,0.0528817783295422,Alanine.aminotransferase,Renal/Liver function,ALT,1.66352707113854e-32,3.00765694461848e-32,49607
GDF15,X30620.0.0,3.60982719199038,0.120209624206798,0.151998166132046,Alanine.aminotransferase,Renal/Liver function,ALT,2.35915285638296e-196,1.24961377861535e-195,49607
GHRL,X30620.0.0,-1.206625767,0.0661734347024147,-0.083882902,Alanine.aminotransferase,Renal/Liver function,ALT,4.85646590734647e-74,1.3066205893575e-73,48992
LGALS4,X30620.0.0,4.80244051658345,0.0983987373068165,0.219480618743345,Alanine.aminotransferase,Renal/Liver function,ALT,0,0,48959
APOM,X30650.0.0,-0.154395671,0.153897425236774,-0.00452715,Aspartate.aminotransferase,Renal/Liver function,AST,0.315751238867578,0.327839724275985,48982
CD276,X30650.0.0,1.20481909107563,0.122768176998055,0.0451726941358832,Aspartate.aminotransferase,Renal/Liver function,AST,1.03105792112157e-22,1.67238581464216e-22,48817
EGFR,X30650.0.0,2.92904184459772,0.263361949682623,0.0504125684606727,Aspartate.aminotransferase,Renal/Liver function,AST,1.06378955172864e-28,1.83523999000513e-28,49459
GDF15,X30650.0.0,3.38686373490432,0.094891551426973,0.183258279539322,Aspartate.aminotransferase,Renal/Liver function,AST,1.71888429944635e-275,1.33954431612026e-274,49459
GHRL,X30650.0.0,-0.389278693,0.0524915932907217,-0.034830703,Aspartate.aminotransferase,Renal/Liver function,AST,1.22645368011188e-13,1.74326120569362e-13,48848
LGALS4,X30650.0.0,3.76226137083101,0.0782056174202055,0.220365078208809,Aspartate.aminotransferase,Renal/Liver function,AST,0,0,48817
APOM,X30660.0.0,-0.247234257,0.0123649837928337,-0.096109093,Direct.bilirubin,Renal/Liver function,Direct.bilirubin,1.59686627474309e-88,4.83337202801703e-88,41698
CD276,X30660.0.0,0.0942265020720794,0.0109173889887364,0.0427849310426198,Direct.bilirubin,Renal/Liver function,Direct.bilirubin,6.3013580978258e-18,9.60072087713684e-18,41567
EGFR,X30660.0.0,-0.242172699,0.0215077661674507,-0.054680759,Direct.bilirubin,Renal/Liver function,Direct.bilirubin,2.28373413728475e-29,3.99064882752335e-29,42095
GDF15,X30660.0.0,0.0500531534159674,0.00789877502365516,0.0356217039441726,Direct.bilirubin,Renal/Liver function,Direct.bilirubin,2.36919487956968e-10,3.22553037820932e-10,42095
GHRL,X30660.0.0,-0.037715277,0.00430435785117322,-0.044031758,Direct.bilirubin,Renal/Liver function,Direct.bilirubin,1.98720293277514e-18,3.06907423330648e-18,41573
LGALS4,X30660.0.0,0.0293715075297566,0.00710058074182299,0.0208627081308901,Direct.bilirubin,Renal/Liver function,Direct.bilirubin,3.53346759246752e-05,4.32435203554689e-05,41567
APOM,X30670.0.0,-0.454774509,0.0208381097551546,-0.095069593,Urea,Renal/Liver function,Urea,4.33698817762186e-105,1.44141077668021e-104,49114
CD276,X30670.0.0,0.325873492979302,0.0163646194947513,0.088606573824141,Urea,Renal/Liver function,Urea,6.97445750546246e-88,2.10163652831269e-87,48944
EGFR,X30670.0.0,0.195251057147338,0.0358376276231632,0.023986747109886,Urea,Renal/Liver function,Urea,5.11200410307407e-08,6.5271916796313e-08,49590
GDF15,X30670.0.0,0.572803240616624,0.012802092287591,0.221302630936881,Urea,Renal/Liver function,Urea,0,0,49590
GHRL,X30670.0.0,0.0630200876886007,0.00713436498857407,0.0402527074399519,Urea,Renal/Liver function,Urea,1.04911312186343e-18,1.62768580463022e-18,48976
LGALS4,X30670.0.0,0.378361739884788,0.0105543798561357,0.160833173888264,Urea,Renal/Liver function,Urea,7.85741526590506e-278,6.41846692805257e-277,48944
APOM,X30680.0.0,0.046226756259397,0.00136948431569168,0.158330259316886,Calcium,Glycolysis related metabolites,Calcium,1.11279925567061e-246,7.39684211122229e-246,45025
CD276,X30680.0.0,-0.007139506,0.00110336684031913,-0.031346826,Calcium,Glycolysis related metabolites,Calcium,9.85824729441088e-11,1.35301450720862e-10,44899
EGFR,X30680.0.0,0.0974446224295619,0.00233139858270676,0.196112813168714,Calcium,Glycolysis related metabolites,Calcium,0,0,45469
GDF15,X30680.0.0,-0.001079476,0.000868310505023811,-0.006817217,Calcium,Glycolysis related metabolites,Calcium,0.213803694691182,0.223702013889848,45469
GHRL,X30680.0.0,0.00786229681641318,0.000471739265459741,0.0821473223005772,Calcium,Glycolysis related metabolites,Calcium,3.52920031703484e-62,8.3372746165492e-62,44899
LGALS4,X30680.0.0,0.00747312809015331,0.000715420809099972,0.0514660730098352,Calcium,Glycolysis related metabolites,Calcium,1.63888278140517e-25,2.76408588505648e-25,44899
APOM,X30690.0.0,1.8090112640409,0.0139335611070864,0.501022275494733,Cholesterol1,Cholesterol,Cholesterol1,0,0,49148
CD276,X30690.0.0,-0.216372191,0.0128005569187515,-0.076968437,Cholesterol1,Cholesterol,Cholesterol1,6.46124833764545e-64,1.57015282183642e-63,48977
EGFR,X30690.0.0,1.49900062769807,0.0268409513818899,0.24369365755028,Cholesterol1,Cholesterol,Cholesterol1,0,0,49626
GDF15,X30690.0.0,-0.358906725,0.0099478540727767,-0.183534556,Cholesterol1,Cholesterol,Cholesterol1,2.20051088847832e-281,1.84190911405963e-280,49626
GHRL,X30690.0.0,0.235186105233265,0.00539864995367065,0.199101697307395,Cholesterol1,Cholesterol,Cholesterol1,0,0,49010
LGALS4,X30690.0.0,-0.289621959,0.00825075893151783,-0.161075029,Cholesterol1,Cholesterol,Cholesterol1,1.29362740858846e-266,9.43096110777393e-266,48977
APOM,X30710.0.0,-1.525095875,0.0626036779443973,-0.109946707,C.reactive.protein,Inflammation,C.reactive.protein,2.65050546951497e-130,1.01527836628879e-129,49000
CD276,X30710.0.0,0.148404857688957,0.0501295473902389,0.0137300143584328,C.reactive.protein,Inflammation,C.reactive.protein,0.00307360923193852,0.00358059632174281,48827
EGFR,X30710.0.0,-1.58334075,0.107367267032001,-0.067197457,C.reactive.protein,Inflammation,C.reactive.protein,4.09479471885837e-49,8.75795211162768e-49,49476
GDF15,X30710.0.0,1.70215674436922,0.03846785378217,0.227053955663171,C.reactive.protein,Inflammation,C.reactive.protein,0,0,49476
GHRL,X30710.0.0,-0.312860584,0.0214204725746888,-0.068932604,C.reactive.protein,Inflammation,C.reactive.protein,3.26735270765063e-48,6.96624256536832e-48,48863
LGALS4,X30710.0.0,0.618594105049006,0.0325093934275316,0.0894662219909007,C.reactive.protein,Inflammation,C.reactive.protein,1.95315722349719e-80,5.54075563820542e-80,48827
APOM,X30720.0.0,-0.080536282,0.00245647989694055,-0.1374231,Cystatin.C,Inflammation,Cystatin.C,3.19532303914662e-233,2.0059527967976e-232,49149
CD276,X30720.0.0,0.0925295447492431,0.00188981770186725,0.206327503214233,Cystatin.C,Inflammation,Cystatin.C,0,0,48978
EGFR,X30720.0.0,-0.166185967,0.00418963960435389,-0.166427559,Cystatin.C,Inflammation,Cystatin.C,0,0,49626
GDF15,X30720.0.0,0.158435238057436,0.00137677631424766,0.498998830055359,Cystatin.C,Inflammation,Cystatin.C,0,0,49626
GHRL,X30720.0.0,0.00829489898028099,0.000847066321656382,0.043178589523261,Cystatin.C,Inflammation,Cystatin.C,1.27205237815162e-22,2.05345598187333e-22,49011
LGALS4,X30720.0.0,0.0885593400048636,0.0011946061079614,0.308648317484073,Cystatin.C,Inflammation,Cystatin.C,0,0,48978
APOM,X30730.0.0,4.7120511454211,0.586593506079659,0.0359979156604805,Gamma.glutamyltransferase,Renal/Liver function,GGT,9.72930686009407e-16,1.43401522850952e-15,49127
CD276,X30730.0.0,1.80740881302751,0.471393413686466,0.0175595541741843,Gamma.glutamyltransferase,Renal/Liver function,GGT,0.000126139958637931,0.000152719449922352,48956
EGFR,X30730.0.0,1.90335974882969,1.00832886298866,0.00851324102525971,Gamma.glutamyltransferase,Renal/Liver function,GGT,0.0590804229418467,0.0639880619082621,49605
GDF15,X30730.0.0,16.0619763923216,0.360558568872034,0.225718731368894,Gamma.glutamyltransferase,Renal/Liver function,GGT,0,0,49605
GHRL,X30730.0.0,-0.637937163,0.200151724987644,-0.014881323,Gamma.glutamyltransferase,Renal/Liver function,GGT,0.00143713977185021,0.00170048999182276,48989
LGALS4,X30730.0.0,11.5129909780602,0.302535688676571,0.174761202063093,Gamma.glutamyltransferase,Renal/Liver function,GGT,2.67363984511754e-312,2.48318878765687e-311,48956
APOM,X30750.0.0,-2.443206179,0.0967908560162548,-0.11155865,Glycated.haemoglobin..HbA1c.,Glycolysis related metabolites,Glycated.haemoglobin..HbA1c.,1.09526642835215e-139,4.39402744628851e-139,48839
CD276,X30750.0.0,1.52203493435708,0.0772707592494261,0.0890549780818743,Glycated.haemoglobin..HbA1c.,Glycolysis related metabolites,Glycated.haemoglobin..HbA1c.,4.9184186680159e-86,1.43736545556672e-85,48701
EGFR,X30750.0.0,2.18016496895947,0.1663361412253,0.0585134844077304,Glycated.haemoglobin..HbA1c.,Glycolysis related metabolites,Glycated.haemoglobin..HbA1c.,3.49335955900771e-39,6.61591558940566e-39,49316
GDF15,X30750.0.0,3.6428078332036,0.0587709402144547,0.306572226798397,Glycated.haemoglobin..HbA1c.,Glycolysis related metabolites,Glycated.haemoglobin..HbA1c.,0,0,49316
GHRL,X30750.0.0,-0.651834976,0.0330535855424223,-0.090868828,Glycated.haemoglobin..HbA1c.,Glycolysis related metabolites,Glycated.haemoglobin..HbA1c.,3.12439027752914e-86,9.21015916593373e-86,48724
LGALS4,X30750.0.0,2.66498448763423,0.0489828045724266,0.243979650087177,Glycated.haemoglobin..HbA1c.,Glycolysis related metabolites,Glycated.haemoglobin..HbA1c.,0,0,48701
APOM,X30770.0.0,0.156539157628545,0.0789994832646866,0.00873979795904631,IGF.1,Glycolysis related metabolites,IGF.1,0.0475384453002809,0.0518184339446792,48892
CD276,X30770.0.0,0.380545661438831,0.0626786579245601,0.0273256472531348,IGF.1,Glycolysis related metabolites,IGF.1,1.27755331951766e-09,1.70508100518302e-09,48724
EGFR,X30770.0.0,1.36380223986755,0.135172835138677,0.044718515584325,IGF.1,Glycolysis related metabolites,IGF.1,6.49792905969412e-24,1.06931939380403e-23,49365
GDF15,X30770.0.0,-0.849058429,0.0491081395975455,-0.087591737,IGF.1,Glycolysis related metabolites,IGF.1,8.88054179215829e-67,2.19744793251216e-66,49365
GHRL,X30770.0.0,0.29371379825856,0.0268823178458501,0.0501324816554586,IGF.1,Glycolysis related metabolites,IGF.1,9.33500178301914e-28,1.6023116984524e-27,48754
LGALS4,X30770.0.0,-0.672925578,0.0407163015257867,-0.075489177,IGF.1,Glycolysis related metabolites,IGF.1,3.43568950375197e-61,8.00480234894789e-61,48724
APOM,X30780.0.0,1.08624527909817,0.0114345766651497,0.39647010530621,LDL.direct,Lipoprotein,LDL.direct,0,0,49037
CD276,X30780.0.0,-0.180125487,0.0098497361417775,-0.08451842,LDL.direct,Lipoprotein,LDL.direct,1.85286875787991e-74,5.00496023044852e-74,48868
EGFR,X30780.0.0,0.976389765086974,0.0208576633266458,0.209267883712888,LDL.direct,Lipoprotein,LDL.direct,0,0,49515
GDF15,X30780.0.0,-0.256313471,0.0076894217653786,-0.172643849,LDL.direct,Lipoprotein,LDL.direct,6.04106116264506e-241,3.86399949837109e-240,49515
GHRL,X30780.0.0,0.131293255211257,0.00419663446138983,0.146535436879937,LDL.direct,Lipoprotein,LDL.direct,9.43126256843276e-213,5.46529574478411e-212,48900
LGALS4,X30780.0.0,-0.222891443,0.00635602547159276,-0.163402173,LDL.direct,Lipoprotein,LDL.direct,4.32114796633553e-266,3.11674289486754e-265,48868
APOM,X30790.0.0,3.59957798181966,0.78590326632734,0.0233809199188372,Lipoprotein.A,Lipoprotein,Lipoprotein.A,4.66004385117152e-06,5.7972655616409e-06,39278
CD276,X30790.0.0,0.0691701289173635,0.622369665613689,0.000579180972335692,Lipoprotein.A,Lipoprotein,Lipoprotein.A,0.91150594618202,0.914202709336405,39133
EGFR,X30790.0.0,5.13719232247505,1.34316894754886,0.0196409301982905,Lipoprotein.A,Lipoprotein,Lipoprotein.A,0.000131142388745667,0.000158492940409202,39654
GDF15,X30790.0.0,-0.796937317,0.496043306584652,-0.00946678,Lipoprotein.A,Lipoprotein,Lipoprotein.A,0.108152710350009,0.115294870467462,39654
GHRL,X30790.0.0,1.50742968531114,0.268575705401641,0.029859402649533,Lipoprotein.A,Lipoprotein,Lipoprotein.A,2.00563265755113e-08,2.59507431644974e-08,39157
LGALS4,X30790.0.0,1.52169821403672,0.40905385867894,0.0197128138164438,Lipoprotein.A,Lipoprotein,Lipoprotein.A,0.000199467038272816,0.000239784843881151,39133
APOM,X30800.0.0,8.90632688985993,15.1777254553793,0.00626086274259564,Oestradiol,Endocrine,Oestradiol,0.5573530081423,0.568248630857864,7985
CD276,X30800.0.0,31.3606979619786,11.5276392777747,0.0293126335034767,Oestradiol,Endocrine,Oestradiol,0.00653296065594331,0.00746938840595205,7950
